00000001   158 ACADABBABDADAAAACBDABEAEEEEACDBEDAEDDADECADCCACCBEDAEEECCEEDBDCCCDCDCEBCBBCCBEBBBBDDDEEDBDEECCABAACBEAABDCEBBDDCBECCEACECDBEBAEDAEEBEBAECEACCBBCEDCABBACABBABCCCEEBDCCDDBDCBADBEEEEC
00000002   161 AABEABBABDADAAADCBDAEEAEEEEACDAEDAEDDDDECADCCACCEDDBEEEBCEACBDCCADCDCBBCEBCCAEBBBBCDDEEABCEECCABAACDEAABDCDBBDDCBAECEBCECDBEBAEDAEEBEEAEDEBCCBBDEDEAABACCBCABCCCEEBDCCDCBCCAACCEEAEE
00000003   153 AAAEABBABDAAAAADCBDADDADEEBACDBEDABDDDDCCADCCACCBABADEEBCEADBDCCABCBCCAABBCCAEBBBBCDBEEDBDEECCABAACBAAAADCBDBDCCBEECEACEDDBEBAEEAEEBEBAEDEACCBCDEDCACBACCBBABCCCEEBDCCDEBCCAACCEEAEC
00000004   160 AAAEABBABDACAAADCBDADEDBEEEACDEEDAAEDDDECADCCACCBEEAEEEBCEADBDCCADBDBBBCBBCCAEBBBBDDDEEDBDEECCABAACBEAADDCDEBDBCBCECEACECDBEBAEDAAEBABACDEACCBEDEDCAABACABBABCCCEEBDACDCECCAACCEEAEC
00000005   171 AAAEABBABDADAAADCBDADECEEEEACDBEDAEDDDDEAADCCACCBDDAEEEBCEACBDCCADCDCBBCBBCCAEBBCBDDDEEDBDEECCABAACBEAABDCDBBBDCBEECEACECDBEBAEDAEEBEBAEDEACCBBDEDCAABACABBABCCAEEBDBCDCBCCAACCECABC
00000006   170 AAAEDBBABDADAAEDCBDADEAEEEEACDCEDAEDDDDECADCBACEBDDAEEEBCEADBDCCADCDCBBCBBCCAEBBBBDDDEEDBDEECCABAACBAAABDCABBDDCBEBCEACECDBEBAEDAEEBEBAEDEACCBBDEDCADBACABBABCCDEEBDCCDCBCCAACCEEAEC
00000007   127 EABEBBBABDAEACADCBDADBAEEEEAADDECCCDDDBACAACCACCBDAAEEEBCEADEDCCCECBCEBCEBCCAEBBBBDDDEEDAEEEEEEBAACBEAABDCEBBADECDECEBCCDDBEBAEDAEEBCDDADACCCBEAAEBADBACABDABCCCEEBDCCABBCBCACBEEADC
00000008   174 AAAEABBABDADAAADCBDADEAEBEEACDBEDAEDDDDECADCCACCEADAEEEBCEADBDCCADCDCDBCBBCCAEBBBBDDDEEDBDEECCABAACBEAABDCDBBDDCBEECEACECDBEBAEDAEEBEBAEDDACCBBDEDCAABACABBABCCCEEBDCCDCBCCACCCEEAEC
00000009   166 AAAEABBABDADAAADCBDADEAEEEEACDBBDAECDDDECCDCCACDBDDAEEEBCEADBDCCADCDCBCCBBCCCEBBBBDDDEBDBAEECCABAACBEAABDCDBBDDCBEECEACACDBEBAEDAAEBEBAEBEAACBBDEDEAABACABBABCCCEEBDCCDCBCCAACCEEAEE
00000010   143 AAACABBABDADAAECCBDAECAEEEBACDCEDCEDDDDECADBCABCBCDAEEEBCCAABDECADCDCDBDBBEDDEBBBCDDECDDBDEECCABAACBEAABDCDBBDDCBBECEBCBCDBEAEEDAEEBEBAEDEDCCCBDEDCAABACAEBABCCDEABDCCDBBCCBACCECEEC
00000011   119 ABACDCBABDAEDDDDABCADBAEEEEACDBDDBADDDBCCADCCACCBDBABDEECEEEADCBBDEDCBABABCCCEBDBBDDAEEEBDEDCEABBBCBDAABCCDDBCDCBCECEACCEDBEDAEDAEAACAAEDBDCEBBEEDCAACACABDAECCCECBDDCDDBCCAACAEEAEB
00000012   146 ECABABBADDADAABDCBCADDEEEEEACDBEDDEDDDAECABCCACCBCDAEEEBCEADCDCCADBDCDBCBBCCABBBCBDDDDEDBDEEBCCBAACBEAABDCDBBADCBEBCEABDBDBEBAEDAEEBEBAEDEAECBDEEDCAEBACABBABACCEEBDCCDBBCCADCCEEEEB
00000013   143 ACAEABBABDADAAADACAADEBEBBEACDBEDACDDDDBAADCBACABDDACEEBCEAEBDCCADCDEEBCBBCCBEBBBBDDDEEDBDBAACABAACBEAABDCDBBCDCBEECEACECDBEBAEDAEEACBADDBACCBEBBDCCABACABBABCBCEABDCACBBBCAAECEEEEC
00000014   177 AAAEABBABDADAAADCBDABEAEEEEACDBEDAEDDDDECADCCACCBDDAEEEBCEADBDCCADCDCBACBBCCAEBBBBDDDEEDBDEECCABAACBEAABDCDBBDDCBEECEACECDBEBAEDAEEBEAAEDEACCBBDEDCAABACABBABCCCEEBDCCDCBCCAACCEEAEC
00000015   173 AAAEABBABDADAAADCBDADEAEEEEACDBEAAEDDDDECADCCACCBDDAEEEBCEBABDCCADCDCBBCBBCCAEBBBBDDDEEDBDEECCABAACBEAABDCDBBDDCBEECEACECDBEBAEDAEEBEBAEDEACCBBDDDCADBCCABBABCCCEEBDCCDCBBCAACCEEAEC
00000016   161 AAAEABBABDADAAADCBDAAEDEEAEACDAEDAEDDDDECADCCACCCBDAEEEACEADBDCCBDCDCBBCBBCCEEBBBBDEDEEDBDEECCABAACBEAABDCBDBDDCBEECEABECDBEBAEDAEEEEDAEDEACCBBDEDBAADACABBABCCCECBDCCDCBCCAAECEEAEC
00000017   159 AAEEABBABDADAAADCBDAAEAEEEEABDBEDAEDDDDEBADCCACEBDDBEECDCEAEBDCCADCDCBECBACBAEBBBBDDDCEDBDEEABABAACBDAABDCDBBDDCBEECEACECABEBAEDCEEBEBAEDEACCBBDEDCAABACABBEBCCCEEBDCCDBBCCAAECEEAEC
00000018   156 EAAEBBBABEABDAADCEDADCAEEEEACDBEDADDDDAECADCCACCBEDAEEEBCEACAACCBDBDCBACBBCCAEBBBBDDDEEDBDEECCABAACBEAACDCDBBBDCBEECEACECDBEDCEDAEEBEBAEDEACCBBDDDAAABACABBDBCCCEEBDCCACBCCAACCEEAEC
00000019   176 AAAEABBABDADAAADCBDADEAEDEEAADBEDADDDDDECADCCACCBDDAEEEBCEADBDCCADCDCBBCBBCCAEBBBBDDDEEDBDEECCABAACBEAABDCDBBDDCBEECEACECDBEBAEDAEEBEBAEDEABCBBDEDCAABACABBABCCCEEBDCCDCBCCAACCEEAEC
00000020   163 DCAEABBABDADAAACCADADEAEEAEACDBEDAEDDDDECADCCACCBEDAEECBCEACBDCCAACDCBBCBBCCAEBBBBDDDEEDBDEECCABDACBEAABDCDBBEDCBCECEACECDBCBAEDAEEDEBAEDEACCBBDEDBAABACAEBABCCCEEBDCCDCBCCAACEEEAEC
00000021   116 ADAAABBAADDDEDADCBAABDEBECDEEDBBEBEDDDCECCBCCABCDDDBEDDACEADBACCADCCCDECBBEDAEBBDBDDDDDDBEEECDABAACBEAADACDBADDCBABCECDACDBEBACDAEEDEBABDCACCBABCDDBABBAABBDBCCCEEBDCDDDBACAACCEADBC
00000022   165 BAAEABBABDADAAADCBDADEBEEEEACDBEDAEDDDAECADCCACCBDDAEEEBCEADBDCCADCDCEBCBBCCAEBBBBDDEEEDADEECCABAACCEAABDCBBBDDCBDECEACEEDBEAAEDAEEBEBAEDEACCBBDEDCACBACABBABCCCEEBDDCDCBCCAACEEEACC
00000023   167 AAAEABBABDADAAADCBDADEAEEEEACDBEDAEDDBDECADCCACCBDDAEAEBCEADBDCAADCDCBBCBBCCAEBBBBDDDEADBDEECCAAAACBEAABDCDDBDDCBEACEACECDBEBDEDAEEDEBDEDEACCBBDEDCAADACABBABCCCEEBDCCBCBCCAACCEEDEC
00000024   159 AABEABBAADADAAADCBDADEDEEEBACDBECEEDDDDEDADCCACDBDDAEEDBCEADBDCCADADCBBCBACCAEBBBBDDDEEDBDEECCABAACBEAABDCDBDDDCBEEDEAADCDBEBAEDAEEBABABDECCCBBDEDCAABACABBABCCCEEBDCCDCBDCCACCEEBEC
00000025   149 AAAEBBBABDAAAAADCABADDAEEEEACDBEDAEDDDCECADCCACCBDCABEEDCEADEDBAADCDCBCCBBCCCEBBBBDDDEEDADEECCABAACABAABDCEBBEDEBEACEECECABEBAEDEEEBBBAEDEACCBBDEDAAABACABBABCCEEEBDBCDCBDCAACCECAEB
00000026   162 AAAEABBABDADAAADCCDABEAEEEEACDBEDAEDDDCECADCCACCBBBAEEEBCEADBDCCEBCDCBBCBBCCEEBBBBDDDEEDBEEECDABAACBEAABBCABBDDCBEECAACDCDBEBAEDACEBEBAEDEACCBBDEDCAAAACABBABCCCEEBDCCDCBCCAACCEECDC
00000027   127 AEAECBBABDADEABDCBDADEACECEACDDBEABBDDDDCADCCEBCBBDEBEEBCEADBDCCDACACDEABBCCBABDBBBDDEEDBCEEECABEDCEEAABDCDEBADCBAECEECCDDEEBAEBBAEBEBBEDEACCBBEEDCCABAAABBABCBCEEBBBCDBBCDEACBEEAEC
00000028   170 AAAEABBABDADAAADCBDADEAEEEEACDBEDAEDDDBECADCCACCBDDAEEEBCEADBDCCADCDCDCDBBCCAEBBBBDDDEEDBDEECCABAACBEAABDCDBBDDCBBECEACECDBEBAEDACEBCBAEDEACCBBDEDCAABACABBABCCBEEBDCCDCBCCAACCECAEE
00000029   142 BAAEEBBABEADAAADEBCAAAAEEBBAADBEDEEDDDDEEADCCACCBBCAEEEBCEEDBDCCADCDCBBEBCCCAEBBBBCDDDEACAEEACABAACBDAABDCDABDDCBEECEBCDADBECAEDAEEBEBAEDCACCEAEECCAEBDCABBABCCCAEBDCCBCBCCAACCEEAEC
00000030   164 AAAEABBABDADAAADCBDADEBEEEEACDCEDAEDDADECADCCACCBDDAEEEBCEDDBDCCADCDBBBCBBCCAEBBBADDBEEDBDEECCABEACBEAABDCDBBDDCEEECEACDCDDEBAEDAEEDDBAEDEACCEBDEDCAABDCABBABCCCEEBDCCDCBCCAACCECAEC
00000031   173 AAAEABBABDADAAADCBDADEAEEEEACDBEDDEDDDDECADCCACCBDDAEEEBCEADBDCCADCDCBDCBBCCAEBBBBDDDEEDBDEECCABAACBEAABDCDBBDDCBEACEACECDBEBAEDAEBBEBAEDEACCBCDEDCAABECABBABCCCEEBDCCECBCCAACCEEAEC
00000032   153 AAAEABBABCADBAADCBBACCAEEEEAEDDEAAEDDDBEEADCCABCBDBAECDBCEADBDACADCDCABCBBCCAEBBBBDDDEEDBDEECCABACCBEAABDBDBBEBCBBECEACECDBEBECDAEEBEBAEDEACCBBDBDCAABACABBABCCCEEBDCCDCBBCAACCEBAED
00000033   168 AAAEABBABDADAAADCBDADEAAEEEACDBDDAEDDDDECADCCABCBDDAEEEBCEADBDCCADCDCBBCBBCCAEBBBBDDDEEDBDEECCABAACCEAABDCDBBDDCBECAEACEEDBEBAEDAEEBEBAEDEACCBBEEDCAABACABCABCCCECBDCCDCBCCACCCEEDEC
00000034    83 DCAECBBABEECAAAAECCDDDABEEDAEDACDBABBAABBADCCADECDBBBDADEEACDDDEDDBDCABDBEBCEDEBABDDADCBADCEDBABEBDBBAADDDDBBDACCEECBBACCEBDCAEBBEBABBCEDAADCEBBADDAEBACABCBECCCBABDACBDBCCBADCEAADC
00000035   166 AAEEABBABDADAAADCBDADEABEEEACDBADACDDDDECEDCCACBBDDAEEEBCEBDBDCCADCDCABCBBCCAEBABBDDBEEDBDEECCABAACBBAABDCDBBDDCBEECAACECDBEBAEDAEEBEBAEDEACCBBEEDCAABACABBABCCCDEBDCCDCBCCAACCEEAEC
