00000001    41 EEBAEDCACEDABEEBEAABBEBEEDDEDCBEABBDBAAEBDAEDABEAAEDDDCCBCEAAEDDECCDAAEEACBEEBCE
00000002    55 ECEACDECBBDAECBEECAEEEADEEDECCBCDBDECAEEBECEAAAEBAEBDACABCBADADCECDDDCEDAEECCDBD
00000003    28 EEACDEECDBACAAECADABCDEABEDEEDCDECDDDCDABDECEABECAECDBCAACBBEEEBDABABDADDDEBBAAB
00000004    42 EEACEDECABDAABBBBBABCECDEBDCCCCCBABAEBDEAECAAABEBAABBECABAADEBDBCCDBEAADCDBBCDEE
00000005    46 EEEDDDCDABDADACCEDACBECBACDEACDACBDBDBDEBECCAABEBABBBACABCBDAACCDBBBAEDEADDDCCBE
00000006    44 EEABEDCCEEDABACBEBABBECDECDDCACACADBDCEEBEBEAABEBAEBDCCAACBAEAEEBABBDACCDDCCBEBA
00000007    36 EDEAEECDAADCAACEDCDBBAEDEBDACBEBDEACAADCBACEAABEEAEBDDBEECBECEBBBAEEDDDBABEBECBE
00000008    32 EBEAEDBCBBDDBBEBEAABEEBCDDADEEDBBBDDBCDABECDBABCCAEBECBAEDBCBDCECEEDAECEADBCEBBD
00000009    50 EEBAEADCABEABADBCDABDABADBBAECDBABBDDDEDBECEAABEBAEBDACABCBAACDCBADDDCADBBACCDDB
00000010    44 EECAADACAAEAAABBBBACCADBEBDBECBBCEABCCDEBEDEAABEBAEBDECABCBAADDBCCBABAACDEBCBABA
00000011    43 EBEBDDEEEDDAAEDAECABBABDEEBEDACBCBCDBADABEDECABEBCEBDACCBCBAAAECBBEDEADDDBECCDDE
00000012    45 EEECEACBDBDAEBBDECDBAAADEEAEDCCDEBADEDADBECEAABEDAEBDACABCBAAEACCCAADCDBDAECDDCB
00000013    36 CEBBDDBCAEAADCABEADCBDBEEEBEECDCDBAADBCBBECEAAAEBAEBDBEEACBAADAAAACADEAEBDADCECC
00000014    50 DEEECDACACBABCBBEBABBEBDABDEEBDEDCAEDBDDBECCAABEBAEBDACAECBEACACECCCDDDDCABCBEDD
00000015    49 EEEDEDCCDCCAAABBCAABBEACEEDEDCABDBDDECAEBEDEAABABAEBDACAACBCCADAACCDECBBECEEDCBA
00000016    31 AEBAEEEEBBDECDBAEDABCEEAABDBBCBBBEDCDBDDBACEDCBEBAEADDCDECBBBDBADAEDDEAEDCCCBCAB
00000017    38 EAEBCACEAADABBABEBABACCDEADEEDBBEBEDDDDEBEAEBEAEBBEBCAEBBCBBAECACDCEDBCDACCBDACA
00000018    28 ECEEEEBCEDEDBEBBEBABDCDCCBCEBEADDBDAECCECBACCDBEEDEDDAEADCBDADDEBEBDCAADCBBECECC
00000019    29 AEDACCDDABBAEBABEEABEECAEBCBBEEDDCDBEEDBBCCEAABDCAEDBDAABCDCDDEDDDEAEBAECADCBEEA
00000020    47 EEEAEDCCABCAEDABAAABACCCBBEEEADBEAEEEADDBBCEAABEBAEBDACADCBEAABAAEDAEEBDEAEAADBE
00000021    43 EEEEEDECAADDAABCABEEBBBDCEAEEEADCDDCEBDCBCCEAABBBAEBDACABCBAABBBDECCACDBBABCDCCC
